Timestamp,Class,Confidence
2026-03-11 10:55:39,fire,0.78
2026-03-11 10:55:40,fire,0.64
2026-03-11 10:55:42,fire,0.78
2026-03-11 10:55:43,fire,0.88
2026-03-11 10:55:44,fire,0.78
2026-03-11 10:55:45,fire,0.97
2026-03-11 10:55:46,fire,0.80
2026-03-11 10:55:47,fire,0.73
2026-03-11 10:55:48,fire,0.75
2026-03-11 10:55:50,fire,0.61
2026-03-11 10:55:51,fire,0.74
2026-03-11 10:55:52,fire,0.91
2026-03-11 10:55:54,fire,0.71
2026-03-11 10:55:55,fire,0.88
2026-03-11 10:55:56,fire,0.87
2026-03-11 10:55:57,fire,0.77
2026-03-11 10:55:59,fire,0.94
2026-03-11 10:58:45,fire,0.90
2026-03-11 10:58:47,fire,0.69
2026-03-11 10:58:49,fire,0.75
2026-03-11 10:58:53,fire,0.69
2026-03-11 10:58:54,fire,0.72
2026-03-11 11:50:47,fire,0.70
2026-03-11 11:51:31,fire,0.65
2026-03-11 11:51:31,fire,0.68
2026-03-11 11:51:32,fire,0.76
2026-03-11 11:51:33,fire,0.72
2026-03-11 11:51:34,fire,0.72
2026-03-11 11:51:35,fire,0.65
2026-03-11 11:51:35,fire,0.68
2026-03-11 11:51:36,fire,0.76
2026-03-11 11:51:37,fire,0.75
2026-03-11 11:51:38,fire,0.83
2026-03-11 11:51:38,fire,0.65
2026-03-11 11:51:41,fire,0.71
2026-03-11 11:51:41,fire,0.78
2026-03-11 11:51:42,fire,0.64
2026-03-11 11:51:43,fire,0.62
2026-03-11 11:51:44,fire,0.72
2026-03-11 11:51:44,fire,0.66
2026-03-11 11:51:45,fire,0.69
2026-03-11 11:51:45,fire,0.66
2026-03-11 11:51:45,fire,0.65
2026-03-11 11:51:46,fire,0.62
2026-03-11 11:51:46,fire,0.65
2026-03-11 11:51:47,fire,0.79
2026-03-11 11:51:47,fire,0.74
2026-03-11 11:51:49,fire,0.62
2026-03-11 11:51:50,fire,0.63
